ID,mes,cuit,provincia,destino,monto,tipo,cuitl,juris,provins
225,03/2020,30-54636615-0,JN,JN,4720000.0,Comp. Gasoil,30546366150,REMEDIOS DE ESCALADA,BUENOS AIRES
226,03/2020,30-54636646-0,JN,JN,2420000.0,Comp. Gasoil,30546366460,,CIUDAD AUTONOMA BUENOS AIRES
227,03/2020,30-54636646-0,JN,JN,4860000.0,Comp. Gasoil,30546366460,,CIUDAD AUTONOMA BUENOS AIRES
228,03/2020,30-54636646-0,JN,JN,2760000.0,Comp. Gasoil,30546366460,,CIUDAD AUTONOMA BUENOS AIRES
229,03/2020,30-54636783-1,JN,JN,1570000.0,Comp. Gasoil,30546367831,EL PALOMAR,BUENOS AIRES
230,03/2020,30-54640458-3,JN,JN,870000.0,Comp. Gasoil,30546404583,RESISTENCIA,CHACO
231,03/2020,30-54650008-6,JN,JN,5540000.0,Comp. Gasoil,30546500086,,CIUDAD AUTONOMA BUENOS AIRES
232,03/2020,30-54650008-6,JN,JN,11040000.0,Comp. Gasoil,30546500086,,CIUDAD AUTONOMA BUENOS AIRES
233,03/2020,30-54657290-7,JN,JN,2760000.0,Comp. Gasoil,30546572907,,CIUDAD AUTONOMA BUENOS AIRES
234,03/2020,30-54660726-3,JN,JN,820000.0,Comp. Gasoil,30546607263,PARANA,ENTRE RIOS
235,03/2020,30-54660863-4,JN,JN,3150000.0,Comp. Gasoil,30546608634,LOMAS DEL MIRADOR,BUENOS AIRES
236,03/2020,30-54669877-3,JN,JN,5480000.0,Comp. Gasoil,30546698773,FLORENCIO VARELA,BUENOS AIRES
237,03/2020,30-54684423-0,JN,JN,6450000.0,Comp. Gasoil,30546844230,,CIUDAD AUTONOMA BUENOS AIRES
238,03/2020,30-55665485-5,JN,JN,5040000.0,Comp. Gasoil,30556654855,,CIUDAD AUTONOMA BUENOS AIRES
239,03/2020,30-56394131-2,JN,JN,2730000.0,Comp. Gasoil,30563941312,CIPOLLETTI,RIO NEGRO
240,03/2020,30-56835256-0,JN,JN,3930000.0,Comp. Gasoil,30568352560,LANUS,BUENOS AIRES
241,03/2020,30-57153764-4,JN,JN,19800000.0,Comp. Gasoil,30571537644,INGENIERO MASCHWITZ,BUENOS AIRES
242,03/2020,30-57153764-4,JN,JN,0.0,Comp. Gasoil,30571537644,INGENIERO MASCHWITZ,BUENOS AIRES
243,03/2020,30-57189536-2,JN,JN,2880000.0,Comp. Gasoil,30571895362,QUILMES,BUENOS AIRES
244,03/2020,30-57196699-5,JN,JN,3640000.0,Comp. Gasoil,30571966995,LANUS,BUENOS AIRES
245,03/2020,30-57196927-7,JN,JN,2070000.0,Comp. Gasoil,30571969277,MORON,BUENOS AIRES
246,03/2020,30-59033015-5,JN,JN,146000.0,Comp. Gasoil,30590330155,VIEDMA,RIO NEGRO
247,03/2020,30-62548832-6,JN,JN,4836000.0,Comp. Gasoil,30625488326,,CIUDAD AUTONOMA BUENOS AIRES
248,03/2020,30-62554374-2,JN,JN,830000.0,Comp. Gasoil,30625543742,CIPOLLETTI,RIO NEGRO
249,03/2020,30-65080001-6,JN,JN,1750000.0,Comp. Gasoil,30650800016,GUERNICA,BUENOS AIRES
250,03/2020,30-68784108-1,JN,JN,102000.0,Comp. Gasoil,30687841081,APOSTOLES,MISIONES
251,03/2020,30-69638589-7,JN,JN,12420000.0,Comp. Gasoil,30696385897,QUILMES OESTE,BUENOS AIRES
252,03/2020,30-69967283-8,JN,JN,2550000.0,Comp. Gasoil,30699672838,SAN JUSTO,BUENOS AIRES
253,03/2020,30-70087642-6,JN,JN,2930000.0,Comp. Gasoil,30700876426,,CIUDAD AUTONOMA BUENOS AIRES
254,03/2020,30-70087642-6,JN,JN,4840000.0,Comp. Gasoil,30700876426,,CIUDAD AUTONOMA BUENOS AIRES
255,03/2020,30-70228513-1,JN,JN,2464000.0,Comp. Gasoil,30702285131,,CIUDAD AUTONOMA BUENOS AIRES
256,03/2020,30-70395396-0,JN,JN,1350000.0,Comp. Gasoil,30703953960,GREGORIO DE LAFERRERE,BUENOS AIRES
257,03/2020,30-70395396-0,JN,JN,7740000.0,Comp. Gasoil,30703953960,GREGORIO DE LAFERRERE,BUENOS AIRES
258,03/2020,30-70554911-3,JN,JN,2250000.0,Comp. Gasoil,30705549113,GREGORIO DE LAFERRERE,BUENOS AIRES
259,03/2020,30-70778883-2,JN,JN,1050000.0,Comp. Gasoil,30707788832,CORRIENTES,CORRIENTES
260,03/2020,30-70778883-2,JN,JN,2570000.0,Comp. Gasoil,30707788832,CORRIENTES,CORRIENTES
261,03/2020,30-70778883-2,JN,JN,2500000.0,Comp. Gasoil,30707788832,CORRIENTES,CORRIENTES
262,03/2020,30-70778883-2,JN,JN,1890000.0,Comp. Gasoil,30707788832,CORRIENTES,CORRIENTES
263,03/2020,30-70818819-7,JN,JN,1960000.0,Comp. Gasoil,30708188197,GREGORIO DE LAFERRERE,BUENOS AIRES
264,03/2020,30-70986829-9,JN,JN,2460000.0,Comp. Gasoil,30709868299,,CIUDAD AUTONOMA BUENOS AIRES
265,03/2020,33-54568440-9,JN,JN,4280000.0,Comp. Gasoil,33545684409,MORON,BUENOS AIRES
266,03/2020,33-54625963-9,JN,JN,3100000.0,Comp. Gasoil,33546259639,CARAPACHAY,BUENOS AIRES
267,03/2020,33-54625963-9,JN,JN,5230000.0,Comp. Gasoil,33546259639,CARAPACHAY,BUENOS AIRES
268,03/2020,33-54625963-9,JN,JN,148000.0,Comp. Gasoil,33546259639,CARAPACHAY,BUENOS AIRES
269,03/2020,33-54626188-9,JN,JN,6102000.0,Comp. Gasoil,33546261889,REMEDIOS DE ESCALADA,BUENOS AIRES
270,03/2020,33-54633982-9,JN,JN,4680000.0,Comp. Gasoil,33546339829,,CIUDAD AUTONOMA BUENOS AIRES
271,03/2020,33-54633982-9,JN,JN,12780000.0,Comp. Gasoil,33546339829,,CIUDAD AUTONOMA BUENOS AIRES
272,03/2020,33-54635568-9,JN,JN,2510000.0,Comp. Gasoil,33546355689,,CIUDAD AUTONOMA BUENOS AIRES
273,03/2020,33-54635568-9,JN,JN,1280000.0,Comp. Gasoil,33546355689,,CIUDAD AUTONOMA BUENOS AIRES
274,03/2020,33-54661071-9,JN,JN,3810000.0,Comp. Gasoil,33546610719,BURZACO,BUENOS AIRES
275,03/2020,33-54661071-9,JN,JN,2710000.0,Comp. Gasoil,33546610719,BURZACO,BUENOS AIRES
276,03/2020,33-70223426-9,JN,JN,2590000.0,Comp. Gasoil,33702234269,,CIUDAD AUTONOMA BUENOS AIRES
439,02/2020,30-52276217-9,JN,JN,11560000.0,Comp. Gasoil,30522762179,BERAZATEGUI,BUENOS AIRES
440,02/2020,30-54563704-5,JN,JN,1280000.0,Comp. Gasoil,30545637045,,CIUDAD AUTONOMA BUENOS AIRES
441,02/2020,30-54563704-5,JN,JN,4790000.0,Comp. Gasoil,30545637045,,CIUDAD AUTONOMA BUENOS AIRES
442,02/2020,30-54563704-5,JN,JN,2490000.0,Comp. Gasoil,30545637045,,CIUDAD AUTONOMA BUENOS AIRES
443,02/2020,30-54563704-5,JN,JN,2350000.0,Comp. Gasoil,30545637045,,CIUDAD AUTONOMA BUENOS AIRES
444,02/2020,30-54577585-5,JN,JN,3380000.0,Comp. Gasoil,30545775855,,CIUDAD AUTONOMA BUENOS AIRES
445,02/2020,30-54577585-5,JN,JN,1850000.0,Comp. Gasoil,30545775855,,CIUDAD AUTONOMA BUENOS AIRES
446,02/2020,30-54622346-5,JN,JN,9360000.0,Comp. Gasoil,30546223465,JOSE CLEMENTE PAZ,BUENOS AIRES
447,02/2020,30-54622391-0,JN,JN,5630000.0,Comp. Gasoil,30546223910,BERAZATEGUI,BUENOS AIRES
448,02/2020,30-54622438-0,JN,JN,2170000.0,Comp. Gasoil,30546224380,SAN JUSTO,BUENOS AIRES
449,02/2020,30-54622438-0,JN,JN,2390000.0,Comp. Gasoil,30546224380,SAN JUSTO,BUENOS AIRES
450,02/2020,30-54622575-1,JN,JN,2290000.0,Comp. Gasoil,30546225751,,CIUDAD AUTONOMA BUENOS AIRES
451,02/2020,30-54622575-1,JN,JN,2770000.0,Comp. Gasoil,30546225751,,CIUDAD AUTONOMA BUENOS AIRES
452,02/2020,30-54622575-1,JN,JN,2260000.0,Comp. Gasoil,30546225751,,CIUDAD AUTONOMA BUENOS AIRES
453,02/2020,30-54622575-1,JN,JN,1970000.0,Comp. Gasoil,30546225751,,CIUDAD AUTONOMA BUENOS AIRES
454,02/2020,30-54622810-6,JN,JN,2130000.0,Comp. Gasoil,30546228106,,CIUDAD AUTONOMA BUENOS AIRES
455,02/2020,30-54622810-6,JN,JN,2460000.0,Comp. Gasoil,30546228106,,CIUDAD AUTONOMA BUENOS AIRES
456,02/2020,30-54622827-0,JN,JN,3590000.0,Comp. Gasoil,30546228270,REMEDIOS DE ESCALADA,BUENOS AIRES
457,02/2020,30-54622827-0,JN,JN,580000.0,Comp. Gasoil,30546228270,REMEDIOS DE ESCALADA,BUENOS AIRES
458,02/2020,30-54622896-3,JN,JN,4360000.0,Comp. Gasoil,30546228963,MORON,BUENOS AIRES
459,02/2020,30-54622919-6,JN,JN,2760000.0,Comp. Gasoil,30546229196,,CIUDAD AUTONOMA BUENOS AIRES
460,02/2020,30-54622964-1,JN,JN,1450000.0,Comp. Gasoil,30546229641,GREGORIO DE LAFERRERE,BUENOS AIRES
461,02/2020,30-54622964-1,JN,JN,7800000.0,Comp. Gasoil,30546229641,GREGORIO DE LAFERRERE,BUENOS AIRES
462,02/2020,30-54623417-3,JN,JN,1480000.0,Comp. Gasoil,30546234173,EL PALOMAR,BUENOS AIRES
463,02/2020,30-54623417-3,JN,JN,4050000.0,Comp. Gasoil,30546234173,EL PALOMAR,BUENOS AIRES
464,02/2020,30-54623417-3,JN,JN,4630000.0,Comp. Gasoil,30546234173,EL PALOMAR,BUENOS AIRES
465,02/2020,30-54624694-5,JN,JN,1510000.0,Comp. Gasoil,30546246945,VALENTIN ALSINA,BUENOS AIRES
466,02/2020,30-54624694-5,JN,JN,1170000.0,Comp. Gasoil,30546246945,VALENTIN ALSINA,BUENOS AIRES
467,02/2020,30-54624694-5,JN,JN,1100000.0,Comp. Gasoil,30546246945,VALENTIN ALSINA,BUENOS AIRES
468,02/2020,30-54624694-5,JN,JN,1068000.0,Comp. Gasoil,30546246945,VALENTIN ALSINA,BUENOS AIRES
469,02/2020,30-54624700-3,JN,JN,13530000.0,Comp. Gasoil,30546247003,,CIUDAD AUTONOMA BUENOS AIRES
470,02/2020,30-54624724-0,JN,JN,2960000.0,Comp. Gasoil,30546247240,VILLA MARTELLI,BUENOS AIRES
471,02/2020,30-54625048-9,JN,JN,1960000.0,Comp. Gasoil,30546250489,TAPIALES,BUENOS AIRES
472,02/2020,30-54625055-1,JN,JN,2490000.0,Comp. Gasoil,30546250551,,CIUDAD AUTONOMA BUENOS AIRES
473,02/2020,30-54625055-1,JN,JN,1790000.0,Comp. Gasoil,30546250551,,CIUDAD AUTONOMA BUENOS AIRES
474,02/2020,30-54625055-1,JN,JN,7980000.0,Comp. Gasoil,30546250551,,CIUDAD AUTONOMA BUENOS AIRES
475,02/2020,30-54625079-9,JN,JN,9700000.0,Comp. Gasoil,30546250799,,CIUDAD AUTONOMA BUENOS AIRES
476,02/2020,30-54625321-6,JN,JN,4350000.0,Comp. Gasoil,30546253216,QUILMES,BUENOS AIRES
477,02/2020,30-54625352-6,JN,JN,8240000.0,Comp. Gasoil,30546253526,GONZALEZ CATAN,BUENOS AIRES
478,02/2020,30-54625437-9,JN,JN,2740000.0,Comp. Gasoil,30546254379,,CIUDAD AUTONOMA BUENOS AIRES
479,02/2020,30-54626010-7,JN,JN,1980000.0,Comp. Gasoil,30546260107,CASEROS,BUENOS AIRES
480,02/2020,30-54632033-9,JN,JN,3230000.0,Comp. Gasoil,30546320339,,CIUDAD AUTONOMA BUENOS AIRES
481,02/2020,30-54632118-1,JN,JN,4900000.0,Comp. Gasoil,30546321181,DON ORIONE,BUENOS AIRES
482,02/2020,30-54632965-4,JN,JN,6242000.0,Comp. Gasoil,30546329654,VALENTIN ALSINA,BUENOS AIRES
483,02/2020,30-54633333-3,JN,JN,5490000.0,Comp. Gasoil,30546333333,,CIUDAD AUTONOMA BUENOS AIRES
484,02/2020,30-54633708-8,JN,JN,3410000.0,Comp. Gasoil,30546337088,,CIUDAD AUTONOMA BUENOS AIRES
485,02/2020,30-54633715-0,JN,JN,2940000.0,Comp. Gasoil,30546337150,,CIUDAD AUTONOMA BUENOS AIRES
486,02/2020,30-54633739-8,JN,JN,4700000.0,Comp. Gasoil,30546337398,,CIUDAD AUTONOMA BUENOS AIRES
487,02/2020,30-54633937-4,JN,JN,2374000.0,Comp. Gasoil,30546339374,,CIUDAD AUTONOMA BUENOS AIRES
488,02/2020,30-54633975-7,JN,JN,2910000.0,Comp. Gasoil,30546339757,MUNRO,BUENOS AIRES
489,02/2020,30-54634060-7,JN,JN,990000.0,Comp. Gasoil,30546340607,BOULOGNE,BUENOS AIRES
490,02/2020,30-54634060-7,JN,JN,2228000.0,Comp. Gasoil,30546340607,BOULOGNE,BUENOS AIRES
491,02/2020,30-54634107-7,JN,JN,3830000.0,Comp. Gasoil,30546341077,WILDE,BUENOS AIRES
492,02/2020,30-54634121-2,JN,JN,3800000.0,Comp. Gasoil,30546341212,MUNRO,BUENOS AIRES
493,02/2020,30-54634305-3,JN,JN,3840000.0,Comp. Gasoil,30546343053,TABLADA,BUENOS AIRES
494,02/2020,30-54634312-6,JN,JN,4540000.0,Comp. Gasoil,30546343126,9 DE ABRIL,BUENOS AIRES
495,02/2020,30-54634404-1,JN,JN,3170000.0,Comp. Gasoil,30546344041,,CIUDAD AUTONOMA BUENOS AIRES
496,02/2020,30-54634404-1,JN,JN,3380000.0,Comp. Gasoil,30546344041,,CIUDAD AUTONOMA BUENOS AIRES
497,02/2020,30-54634404-1,JN,JN,1790000.0,Comp. Gasoil,30546344041,,CIUDAD AUTONOMA BUENOS AIRES
498,02/2020,30-54634404-1,JN,JN,4282000.0,Comp. Gasoil,30546344041,,CIUDAD AUTONOMA BUENOS AIRES
499,02/2020,30-54634671-0,JN,JN,1846000.0,Comp. Gasoil,30546346710,REMEDIOS DE ESCALADA,BUENOS AIRES
500,02/2020,30-54635094-7,JN,JN,3660000.0,Comp. Gasoil,30546350947,LOMA HERMOSA,BUENOS AIRES
501,02/2020,30-54635216-8,JN,JN,514000.0,Comp. Gasoil,30546352168,PARANA,ENTRE RIOS
502,02/2020,30-54636615-0,JN,JN,3730000.0,Comp. Gasoil,30546366150,REMEDIOS DE ESCALADA,BUENOS AIRES
503,02/2020,30-54636646-0,JN,JN,2030000.0,Comp. Gasoil,30546366460,,CIUDAD AUTONOMA BUENOS AIRES
504,02/2020,30-54636646-0,JN,JN,3480000.0,Comp. Gasoil,30546366460,,CIUDAD AUTONOMA BUENOS AIRES
505,02/2020,30-54636646-0,JN,JN,1700000.0,Comp. Gasoil,30546366460,,CIUDAD AUTONOMA BUENOS AIRES
506,02/2020,30-54636783-1,JN,JN,1360000.0,Comp. Gasoil,30546367831,EL PALOMAR,BUENOS AIRES
507,02/2020,30-54640458-3,JN,JN,870000.0,Comp. Gasoil,30546404583,RESISTENCIA,CHACO
508,02/2020,30-54650008-6,JN,JN,4530000.0,Comp. Gasoil,30546500086,,CIUDAD AUTONOMA BUENOS AIRES
509,02/2020,30-54650008-6,JN,JN,7950000.0,Comp. Gasoil,30546500086,,CIUDAD AUTONOMA BUENOS AIRES
510,02/2020,30-54657290-7,JN,JN,2150000.0,Comp. Gasoil,30546572907,,CIUDAD AUTONOMA BUENOS AIRES
511,02/2020,30-54660726-3,JN,JN,700000.0,Comp. Gasoil,30546607263,PARANA,ENTRE RIOS
512,02/2020,30-54660863-4,JN,JN,2400000.0,Comp. Gasoil,30546608634,LOMAS DEL MIRADOR,BUENOS AIRES
513,02/2020,30-54669877-3,JN,JN,4300000.0,Comp. Gasoil,30546698773,FLORENCIO VARELA,BUENOS AIRES
514,02/2020,30-54684423-0,JN,JN,5360000.0,Comp. Gasoil,30546844230,,CIUDAD AUTONOMA BUENOS AIRES
515,02/2020,30-55665485-5,JN,JN,4520000.0,Comp. Gasoil,30556654855,,CIUDAD AUTONOMA BUENOS AIRES
516,02/2020,30-56394131-2,JN,JN,2730000.0,Comp. Gasoil,30563941312,CIPOLLETTI,RIO NEGRO
517,02/2020,30-56835256-0,JN,JN,2840000.0,Comp. Gasoil,30568352560,LANUS,BUENOS AIRES
518,02/2020,30-57153764-4,JN,JN,16550000.0,Comp. Gasoil,30571537644,INGENIERO MASCHWITZ,BUENOS AIRES
519,02/2020,30-57153764-4,JN,JN,0.0,Comp. Gasoil,30571537644,INGENIERO MASCHWITZ,BUENOS AIRES
520,02/2020,30-57189536-2,JN,JN,2090000.0,Comp. Gasoil,30571895362,QUILMES,BUENOS AIRES
521,02/2020,30-57196699-5,JN,JN,2630000.0,Comp. Gasoil,30571966995,LANUS,BUENOS AIRES
522,02/2020,30-57196927-7,JN,JN,1640000.0,Comp. Gasoil,30571969277,MORON,BUENOS AIRES
523,02/2020,30-59033015-5,JN,JN,146000.0,Comp. Gasoil,30590330155,VIEDMA,RIO NEGRO
524,02/2020,30-62548832-6,JN,JN,3846000.0,Comp. Gasoil,30625488326,,CIUDAD AUTONOMA BUENOS AIRES
525,02/2020,30-62554374-2,JN,JN,830000.0,Comp. Gasoil,30625543742,CIPOLLETTI,RIO NEGRO
526,02/2020,30-65080001-6,JN,JN,1410000.0,Comp. Gasoil,30650800016,GUERNICA,BUENOS AIRES
527,02/2020,30-68784108-1,JN,JN,102000.0,Comp. Gasoil,30687841081,APOSTOLES,MISIONES
528,02/2020,30-69638589-7,JN,JN,10400000.0,Comp. Gasoil,30696385897,QUILMES OESTE,BUENOS AIRES
529,02/2020,30-69967283-8,JN,JN,2120000.0,Comp. Gasoil,30699672838,SAN JUSTO,BUENOS AIRES
530,02/2020,30-70087642-6,JN,JN,2110000.0,Comp. Gasoil,30700876426,,CIUDAD AUTONOMA BUENOS AIRES
531,02/2020,30-70087642-6,JN,JN,3660000.0,Comp. Gasoil,30700876426,,CIUDAD AUTONOMA BUENOS AIRES
532,02/2020,30-70228513-1,JN,JN,2032000.0,Comp. Gasoil,30702285131,,CIUDAD AUTONOMA BUENOS AIRES
533,02/2020,30-70395396-0,JN,JN,5510000.0,Comp. Gasoil,30703953960,GREGORIO DE LAFERRERE,BUENOS AIRES
534,02/2020,30-70395396-0,JN,JN,850000.0,Comp. Gasoil,30703953960,GREGORIO DE LAFERRERE,BUENOS AIRES
535,02/2020,30-70554911-3,JN,JN,1840000.0,Comp. Gasoil,30705549113,GREGORIO DE LAFERRERE,BUENOS AIRES
536,02/2020,30-70778883-2,JN,JN,2200000.0,Comp. Gasoil,30707788832,CORRIENTES,CORRIENTES
537,02/2020,30-70778883-2,JN,JN,1980000.0,Comp. Gasoil,30707788832,CORRIENTES,CORRIENTES
538,02/2020,30-70778883-2,JN,JN,1720000.0,Comp. Gasoil,30707788832,CORRIENTES,CORRIENTES
539,02/2020,30-70778883-2,JN,JN,0.0,Comp. Gasoil,30707788832,CORRIENTES,CORRIENTES
540,02/2020,30-70818819-7,JN,JN,1330000.0,Comp. Gasoil,30708188197,GREGORIO DE LAFERRERE,BUENOS AIRES
541,02/2020,30-70986829-9,JN,JN,1950000.0,Comp. Gasoil,30709868299,,CIUDAD AUTONOMA BUENOS AIRES
542,02/2020,33-54568440-9,JN,JN,3030000.0,Comp. Gasoil,33545684409,MORON,BUENOS AIRES
543,02/2020,33-54625963-9,JN,JN,2580000.0,Comp. Gasoil,33546259639,CARAPACHAY,BUENOS AIRES
