cuit,provincia,destino,monto,tipo,cuitl,juris,provins
30-54634404-1,JN,JN,4150000.0,Comp. Gasoil,30546344041,,CIUDAD AUTONOMA BUENOS AIRES
30-54634671-0,JN,JN,2320000.0,Comp. Gasoil,30546346710,REMEDIOS DE ESCALADA,BUENOS AIRES
30-54635094-7,JN,JN,3510000.0,Comp. Gasoil,30546350947,LOMA HERMOSA,BUENOS AIRES
30-54635216-8,JN,JN,572000.0,Comp. Gasoil,30546352168,PARANA,ENTRE RIOS
30-54636615-0,JN,JN,4720000.0,Comp. Gasoil,30546366150,REMEDIOS DE ESCALADA,BUENOS AIRES
30-54636646-0,JN,JN,2420000.0,Comp. Gasoil,30546366460,,CIUDAD AUTONOMA BUENOS AIRES
30-54636783-1,JN,JN,1570000.0,Comp. Gasoil,30546367831,EL PALOMAR,BUENOS AIRES
30-54640458-3,JN,JN,870000.0,Comp. Gasoil,30546404583,RESISTENCIA,CHACO
30-54650008-6,JN,JN,5540000.0,Comp. Gasoil,30546500086,,CIUDAD AUTONOMA BUENOS AIRES
30-54657290-7,JN,JN,2760000.0,Comp. Gasoil,30546572907,,CIUDAD AUTONOMA BUENOS AIRES
30-54660726-3,JN,JN,820000.0,Comp. Gasoil,30546607263,PARANA,ENTRE RIOS
30-54660863-4,JN,JN,3150000.0,Comp. Gasoil,30546608634,LOMAS DEL MIRADOR,BUENOS AIRES
30-54669877-3,JN,JN,5480000.0,Comp. Gasoil,30546698773,FLORENCIO VARELA,BUENOS AIRES
30-54684423-0,JN,JN,6450000.0,Comp. Gasoil,30546844230,,CIUDAD AUTONOMA BUENOS AIRES
30-55665485-5,JN,JN,5040000.0,Comp. Gasoil,30556654855,,CIUDAD AUTONOMA BUENOS AIRES
30-56394131-2,JN,JN,2730000.0,Comp. Gasoil,30563941312,CIPOLLETTI,RIO NEGRO
30-56835256-0,JN,JN,3930000.0,Comp. Gasoil,30568352560,LANUS,BUENOS AIRES
30-57153764-4,JN,JN,19800000.0,Comp. Gasoil,30571537644,INGENIERO MASCHWITZ,BUENOS AIRES
30-57189536-2,JN,JN,2880000.0,Comp. Gasoil,30571895362,QUILMES,BUENOS AIRES
30-57196699-5,JN,JN,3640000.0,Comp. Gasoil,30571966995,LANUS,BUENOS AIRES
30-57196927-7,JN,JN,2070000.0,Comp. Gasoil,30571969277,MORON,BUENOS AIRES
30-59033015-5,JN,JN,146000.0,Comp. Gasoil,30590330155,VIEDMA,RIO NEGRO
30-62548832-6,JN,JN,4836000.0,Comp. Gasoil,30625488326,,CIUDAD AUTONOMA BUENOS AIRES
30-62554374-2,JN,JN,830000.0,Comp. Gasoil,30625543742,CIPOLLETTI,RIO NEGRO
30-65080001-6,JN,JN,1750000.0,Comp. Gasoil,30650800016,GUERNICA,BUENOS AIRES
30-68784108-1,JN,JN,102000.0,Comp. Gasoil,30687841081,APOSTOLES,MISIONES
30-69638589-7,JN,JN,12420000.0,Comp. Gasoil,30696385897,QUILMES OESTE,BUENOS AIRES
30-69967283-8,JN,JN,2550000.0,Comp. Gasoil,30699672838,SAN JUSTO,BUENOS AIRES
30-70087642-6,JN,JN,2930000.0,Comp. Gasoil,30700876426,,CIUDAD AUTONOMA BUENOS AIRES
30-70228513-1,JN,JN,2464000.0,Comp. Gasoil,30702285131,,CIUDAD AUTONOMA BUENOS AIRES
30-70395396-0,JN,JN,1350000.0,Comp. Gasoil,30703953960,GREGORIO DE LAFERRERE,BUENOS AIRES
30-70554911-3,JN,JN,2250000.0,Comp. Gasoil,30705549113,GREGORIO DE LAFERRERE,BUENOS AIRES
30-70778883-2,JN,JN,1050000.0,Comp. Gasoil,30707788832,CORRIENTES,CORRIENTES
30-70818819-7,JN,JN,1960000.0,Comp. Gasoil,30708188197,GREGORIO DE LAFERRERE,BUENOS AIRES
30-70986829-9,JN,JN,2460000.0,Comp. Gasoil,30709868299,,CIUDAD AUTONOMA BUENOS AIRES
33-54568440-9,JN,JN,4280000.0,Comp. Gasoil,33545684409,MORON,BUENOS AIRES
33-54625963-9,JN,JN,3100000.0,Comp. Gasoil,33546259639,CARAPACHAY,BUENOS AIRES
33-54626188-9,JN,JN,6102000.0,Comp. Gasoil,33546261889,REMEDIOS DE ESCALADA,BUENOS AIRES
33-54633982-9,JN,JN,4680000.0,Comp. Gasoil,33546339829,,CIUDAD AUTONOMA BUENOS AIRES
33-54635568-9,JN,JN,2510000.0,Comp. Gasoil,33546355689,,CIUDAD AUTONOMA BUENOS AIRES
33-54661071-9,JN,JN,3810000.0,Comp. Gasoil,33546610719,BURZACO,BUENOS AIRES
33-70223426-9,JN,JN,2590000.0,Comp. Gasoil,33702234269,,CIUDAD AUTONOMA BUENOS AIRES
30-54622469-0,JN,JN,0.0,Comp. Gasoil,30546224690,9 DE abril,BUENOS AIRES
30-55484923-3,JN,JN,0.0,Comp. Gasoil,30554849233,,
